Designator,Mid X,Mid Y,Rotation,Layer
C1,142.3,-70.17,90.0,bottom
C2,140.7,-70.17,90.0,bottom
IC1,216.500001,-81.599999,90.0,bottom
IC10,106.5,-70.1,90.0,bottom
IC11,136.5,-67.0,90.0,bottom
IC12,126.5,-67.6,90.0,bottom
IC13,116.5,-68.6,90.0,bottom
IC14,66.5,-81.6,90.0,bottom
IC15,96.5,-72.1,90.0,bottom
IC16,86.5,-74.7,90.0,bottom
IC17,76.5,-77.9,90.0,bottom
IC2,141.5,-67.0,270.0,top
IC3,206.500001,-77.899999,90.0,bottom
IC4,196.500001,-74.699999,90.0,bottom
IC5,186.500001,-72.099999,90.0,bottom
IC6,146.500006,-66.999994,90.0,bottom
IC7,176.500001,-70.099999,90.0,bottom
IC8,166.500001,-68.599999,90.0,bottom
IC9,156.500001,-67.599999,90.0,bottom
J2,141.5,-74.61,0.0,top
R1,216.500001,-84.099999,0.0,bottom
R10,146.500006,-64.499994,0.0,bottom
R11,176.500001,-72.599999,0.0,bottom
R12,176.500001,-67.599999,0.0,bottom
R13,166.500001,-71.099999,0.0,bottom
R14,166.500001,-66.099999,0.0,bottom
R15,156.500001,-70.099999,0.0,bottom
R16,156.500001,-65.099999,0.0,bottom
R17,106.5,-72.6,0.0,bottom
R18,106.5,-67.6,0.0,bottom
R19,136.5,-69.5,0.0,bottom
R2,216.500001,-79.099999,0.0,bottom
R20,136.5,-64.5,0.0,bottom
R21,126.5,-70.1,0.0,bottom
R22,126.5,-65.1,0.0,bottom
R23,116.5,-71.1,0.0,bottom
R24,116.5,-66.1,0.0,bottom
R25,66.5,-84.1,0.0,bottom
R26,66.5,-79.1,0.0,bottom
R27,96.5,-74.6,0.0,bottom
R28,96.5,-69.6,0.0,bottom
R29,86.5,-77.2,0.0,bottom
R3,206.500001,-80.399999,0.0,bottom
R30,86.5,-72.2,0.0,bottom
R31,76.5,-80.4,0.0,bottom
R32,76.5,-75.4,0.0,bottom
R33,181.55,-68.39,270.0,bottom
R34,101.5,-76.01,90.0,bottom
R4,206.500001,-75.399999,0.0,bottom
R5,196.500001,-77.199999,0.0,bottom
R6,196.500001,-72.199999,0.0,bottom
R7,186.500001,-74.599999,0.0,bottom
R8,186.500001,-69.599999,0.0,bottom
R9,146.500006,-69.499994,0.0,bottom
